dru-221000157,D1642453-3EC8-4BAB-BB9D-BD251A7141FB,125062,"COLEGIO ALVORADA",1,2ANOA_2023,102019
dru-212003299,F6500C81-C3F5-4C8B-B23B-79DD4CED06D7,125406,"COLEGIO ALVORADA",1,2ANOA_2023,102019
dru-212002996,E9CF7568-33AB-4CC1-B32E-DDFB657AE991,125420,"COLEGIO ALVORADA",1,2ANOA_2023,102019
dru-212002784,6E86C031-924B-449F-BABA-9B8E3E6D7B79,122675,"COLEGIO ALVORADA",1,2ANOA_2023,102019
dru-212002804,EAE69367-4DCE-4CF9-A33B-87F911EAD796,124274,"COLEGIO ALVORADA",1,2ANOA_2023,102019
dru-999000292,E9ABA788-16E2-4A53-A71D-B54DF3D175D6,126402,"COLEGIO ALVORADA",1,2ANOA_2023,102019
dru-190001039,3D75FF91-72C8-445D-90A9-AD8D66F8CC65,124408,"COLEGIO ALVORADA",1,2ANOA_2023,102019
dru-200000712,D3591AF7-8768-4E09-8582-7CB0056E91AB,125530,"COLEGIO ALVORADA",1,2ANOA_2023,102019
dru-212002583,1E2A0A9B-9217-4E67-8D33-61B94EE53825,125287,"COLEGIO ALVORADA",1,2ANOA_2023,102019
dru-221003869,0A0A19E5-F91C-465F-A1A2-C9D1369B58E5,126844,"COLEGIO ALVORADA",1,2ANOA_2023,102019
dru-212003288,21661E3B-BA66-4A58-B51C-9229FB1A4BAE,126748,"COLEGIO ALVORADA",1,2ANOA_2023,102019
dru-200000588,735061E4-16B9-42B5-8C35-527431A32C6E,124929,"COLEGIO ALVORADA",1,2ANOA_2023,102019
dru-221004707,B390195E-303D-4581-8652-289783DBA671,124668,"COLEGIO ALVORADA",1,2ANOA_2023,102019
dru-212002838,0A5FDF15-4ED4-4398-A9AE-DAC27E0F62DA,125069,"COLEGIO ALVORADA",1,2ANOA_2023,102019
dru-999000764,9FB18472-47D1-49B8-B25F-9495BD878080,125169,"COLEGIO ALVORADA",1,2ANOA_2023,102019
dru-999000429,47265394-3B40-4201-A45C-EC2F5585E83F,125578,"COLEGIO ALVORADA",1,2ANOA_2023,102019
dru-212003436,2FD4D009-1C4C-4EA8-93B4-A820A523B304,126948,"COLEGIO ALVORADA",1,2ANOA_2023,102019
dru-200000769,DE5BAC7B-32F2-4C04-A6CB-863D1EDC5B9D,127865,"COLEGIO ALVORADA",1,2ANOA_2023,102019
dru-212002680,032239A4-14C0-436E-A124-0C644FB7908F,126953,"COLEGIO ALVORADA",1,2ANOA_2023,102019
dru-221003560,3E9E95E5-EE77-4B4A-9649-B20DF7C235C7,126782,"COLEGIO ALVORADA",1,2ANOA_2023,102019
dru-200000617,C5632E8A-C52A-4E08-B673-994CA2726CB1,124923,"COLEGIO ALVORADA",1,2ANOA_2023,102019
dru-190000915,4F952701-0186-4E06-8C91-2B64C9B563D7,125126,"COLEGIO ALVORADA",1,2ANOA_2023,102019
